adm1_pcode,county,adm2_pcode,constituency,fo,partners,n_partners,population,number_of_households,average_household_size,children_0_17,poverty_incidence,poor_persons,werk_target,fca_target,lisp_target,save_target,irck_target,so_target,combined_target
KE047,Nairobi,KE047280,Kasarani,Nairobi,"LISP, Special Olympics",2,257528.66666666666,90430,2.847823362453463,172904,16.5,42492.23,0,0,1151,0,0,NA,1151
KE047,Nairobi,KE047281,Ruaraka,Nairobi,LISP,1,257528.66666666666,90430,2.847823362453463,172904,16.5,42492.23,0,0,1151,0,0,NA,1151
KE047,Nairobi,KE047282,Embakasi South,Nairobi,LISP,1,196646.6,69591,2.8257475823023093,69145.59999999999,16.5,32446.689000000002,0,0,879,0,0,NA,879
KE047,Nairobi,KE047283,Embakasi North,Nairobi,LISP,1,196646.6,69591,2.8257475823023093,69145.59999999999,16.5,32446.689000000002,0,0,879,0,0,NA,879
KE047,Nairobi,KE047284,Embakasi Central,Nairobi,LISP,1,196646.6,69591,2.8257475823023093,69145.59999999999,16.5,32446.689000000002,0,0,879,0,0,NA,879
KE047,Nairobi,KE047285,Embakasi East,Nairobi,LISP,1,196646.6,69591,2.8257475823023093,69145.59999999999,16.5,32446.689000000002,0,0,879,0,0,NA,879
KE047,Nairobi,KE047286,Embakasi West,Nairobi,LISP,1,196646.6,69591,2.8257475823023093,69145.59999999999,16.5,32446.689000000002,0,0,879,0,0,NA,879
KE047,Nairobi,KE047287,Makadara,Nairobi,Special Olympics,1,188792,70361,2.683190972271571,60878,16.5,31150.68,0,0,0,0,0,NA,0
KE047,Nairobi,KE047288,Kamukunji,Nairobi,"LISP, Special Olympics",2,263462,84365,3.122882712025129,100204,16.5,43471.23,0,0,1178,0,0,NA,1178
KE047,Nairobi,KE047289,Starehe,Nairobi,Special Olympics,1,194726,69389,2.8062949458847943,63194,16.5,32129.79,0,0,0,0,0,NA,0
KE047,Nairobi,KE047290,Mathare,Nairobi,Special Olympics,1,204469,74967,2.7274534128349806,74528,16.5,33737.385,0,0,0,0,0,NA,0
